,fecha,periodo,dif
16056,2019-04-01,1.0,-24.0
16057,2019-04-01,2.0,-20.0
16058,2019-04-01,3.0,-18.0
16059,2019-04-01,4.0,19.0
16060,2019-04-01,5.0,45.0
16061,2019-04-01,6.0,86.0
16062,2019-04-01,7.0,291.0
16063,2019-04-01,8.0,679.0
16064,2019-04-01,9.0,841.0
16065,2019-04-01,10.0,1041.0
16066,2019-04-01,11.0,1137.0
16067,2019-04-01,12.0,1238.0
16068,2019-04-01,13.0,1194.0
16069,2019-04-01,14.0,1248.0
16070,2019-04-01,15.0,1183.0
16071,2019-04-01,16.0,1264.0
16072,2019-04-01,17.0,1389.0
16073,2019-04-01,18.0,1578.0
16074,2019-04-01,19.0,1755.0
16075,2019-04-01,20.0,1478.0
16076,2019-04-01,21.0,1421.0
16077,2019-04-01,22.0,1409.0
16078,2019-04-01,23.0,1128.0
16079,2019-04-01,24.0,937.0
16080,2019-04-02,1.0,-80.0
16081,2019-04-02,2.0,-6.0
16082,2019-04-02,3.0,-15.0
16083,2019-04-02,4.0,3.0
16084,2019-04-02,5.0,44.0
16085,2019-04-02,6.0,54.0
16086,2019-04-02,7.0,320.0
16087,2019-04-02,8.0,1523.0
16088,2019-04-02,9.0,1893.0
16089,2019-04-02,10.0,2081.0
16090,2019-04-02,11.0,2084.0
16091,2019-04-02,12.0,2126.0
16092,2019-04-02,13.0,1997.0
16093,2019-04-02,14.0,2214.0
16094,2019-04-02,15.0,2356.0
16095,2019-04-02,16.0,2893.0
16096,2019-04-02,17.0,3346.0
16097,2019-04-02,18.0,3191.0
16098,2019-04-02,19.0,3300.0
16099,2019-04-02,20.0,3154.0
16100,2019-04-02,21.0,2708.0
16101,2019-04-02,22.0,2536.0
16102,2019-04-02,23.0,2630.0
16103,2019-04-02,24.0,3225.0
16104,2019-04-03,1.0,9.0
16105,2019-04-03,2.0,-16.0
16106,2019-04-03,3.0,-34.0
16107,2019-04-03,4.0,56.0
16108,2019-04-03,5.0,80.0
16109,2019-04-03,6.0,360.0
16110,2019-04-03,7.0,1016.0
16111,2019-04-03,8.0,1959.0
16112,2019-04-03,9.0,2390.0
16113,2019-04-03,10.0,2064.0
16114,2019-04-03,11.0,4324.0
16115,2019-04-03,12.0,4349.0
16116,2019-04-03,13.0,4650.0
16117,2019-04-03,14.0,4942.0
16118,2019-04-03,15.0,4143.0
16119,2019-04-03,16.0,3911.0
16120,2019-04-03,17.0,3635.0
16121,2019-04-03,18.0,4205.0
16122,2019-04-03,19.0,4788.0
16123,2019-04-03,20.0,4211.0
16124,2019-04-03,21.0,4418.0
16125,2019-04-03,22.0,4053.0
16126,2019-04-03,23.0,4420.0
16127,2019-04-03,24.0,4384.0
16128,2019-04-04,1.0,-77.0
16129,2019-04-04,2.0,-276.0
16130,2019-04-04,3.0,-414.0
16131,2019-04-04,4.0,-329.0
16132,2019-04-04,5.0,-73.0
16133,2019-04-04,6.0,228.0
16134,2019-04-04,7.0,863.0
16135,2019-04-04,8.0,1547.0
16136,2019-04-04,9.0,2448.0
16137,2019-04-04,10.0,2747.0
16138,2019-04-04,11.0,4249.0
16139,2019-04-04,12.0,4737.0
16140,2019-04-04,13.0,4851.0
16141,2019-04-04,14.0,5025.0
16142,2019-04-04,15.0,4776.0
16143,2019-04-04,16.0,4424.0
16144,2019-04-04,17.0,4288.0
16145,2019-04-04,18.0,4392.0
16146,2019-04-04,19.0,4454.0
16147,2019-04-04,20.0,4409.0
16148,2019-04-04,21.0,4395.0
16149,2019-04-04,22.0,3638.0
16150,2019-04-04,23.0,4838.0
16151,2019-04-04,24.0,4164.0
16152,2019-04-05,1.0,-71.0
16153,2019-04-05,2.0,-524.0
16154,2019-04-05,3.0,-758.0
16155,2019-04-05,4.0,-1188.0
16156,2019-04-05,5.0,-732.0
16157,2019-04-05,6.0,-369.0
16158,2019-04-05,7.0,2657.0
16159,2019-04-05,8.0,3972.0
16160,2019-04-05,9.0,5363.0
16161,2019-04-05,10.0,4943.0
16162,2019-04-05,11.0,5104.0
16163,2019-04-05,12.0,5318.0
16164,2019-04-05,13.0,5404.0
16165,2019-04-05,14.0,5414.0
16166,2019-04-05,15.0,5167.0
16167,2019-04-05,16.0,5011.0
16168,2019-04-05,17.0,4951.0
16169,2019-04-05,18.0,4820.0
16170,2019-04-05,19.0,4837.0
16171,2019-04-05,20.0,5101.0
16172,2019-04-05,21.0,5127.0
16173,2019-04-05,22.0,5333.0
16174,2019-04-05,23.0,5114.0
16175,2019-04-05,24.0,4730.0
16176,2019-04-06,1.0,39.0
16177,2019-04-06,2.0,182.0
16178,2019-04-06,3.0,-226.0
16179,2019-04-06,4.0,1003.0
16180,2019-04-06,5.0,278.0
16181,2019-04-06,6.0,1220.0
16182,2019-04-06,7.0,2885.0
16183,2019-04-06,8.0,5051.0
16184,2019-04-06,9.0,4813.0
16185,2019-04-06,10.0,5215.0
16186,2019-04-06,11.0,5517.0
16187,2019-04-06,12.0,5281.0
16188,2019-04-06,13.0,4499.0
16189,2019-04-06,14.0,5025.0
16190,2019-04-06,15.0,3967.0
16191,2019-04-06,16.0,3726.0
